epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93409,6.00254,4.47507,4.25836,0,0,0,0,5.9611,4.06314,4.16011,3.334e-05,3.334e-05,3.334e-05
2,4.11949,5.92811,4.34145,4.28268,0,0,0,0,5.96124,4.06391,4.16147,8.05995e-05,8.05995e-05,8.05995e-05
3,5.18976,5.43619,4.19917,4.25531,0,0,0,0,5.96171,4.06414,4.16243,0.000124558,0.000124558,0.000124558
4,6.35831,5.69662,4.24202,4.22153,0,0,0,0,5.96171,4.06414,4.16384,0.000165216,0.000165216,0.000165216
5,7.45053,5.64414,4.13638,4.18992,0,0,0,0,5.96421,4.06721,4.16574,0.000202574,0.000202574,0.000202574
6,8.49671,5.19668,3.95906,4.23801,0,0,0,0,5.96483,4.06962,4.16639,0.000236631,0.000236631,0.000236631
7,9.52202,5.37667,3.828,4.11468,0,0,0,0,5.9652,4.07454,4.17041,0.000267387,0.000267387,0.000267387
8,10.655,5.67935,3.78299,4.01552,0,0,0,0,5.96595,4.07778,4.17281,0.000294842,0.000294842,0.000294842
9,11.7732,5.33722,3.60712,4.02504,0,0,0,0,5.96697,4.09005,4.17946,0.000318997,0.000318997,0.000318997
10,12.8301,5.55919,3.67762,3.889,0,0,0,0,5.96945,4.09813,4.18383,0.000339851,0.000339851,0.000339851
11,14.0468,4.87036,3.19719,3.83776,0.00025,0.00136,0.00013,3e-05,5.97201,4.11934,4.19661,0.000357405,0.000357405,0.000357405
12,15.1875,4.72717,3.07885,3.7803,0.00025,0.00136,0.00013,3e-05,5.97432,4.11955,4.20724,0.000371658,0.000371658,0.000371658
13,16.3677,4.42278,2.97868,3.82508,0.00025,0.00136,0.00013,3e-05,5.98002,4.11448,4.22899,0.00038261,0.00038261,0.00038261
14,17.4801,4.72736,2.99668,3.63353,0.00025,0.00136,0.00013,3e-05,5.98118,4.13015,4.23871,0.000390261,0.000390261,0.000390261
15,18.5546,4.46399,3.0126,3.71372,0.00025,0.00136,0.00013,3e-05,5.98722,4.16562,4.26702,0.000394612,0.000394612,0.000394612
16,19.5859,4.41193,2.88253,3.58934,0.00025,0.00136,0.00013,3e-05,5.9896,4.19273,4.28441,0.000395662,0.000395662,0.000395662
17,20.7354,4.29511,2.88787,3.66994,0.00025,0.00136,0.00013,3e-05,5.99316,4.21491,4.30244,0.000393412,0.000393412,0.000393412
18,21.8085,4.39433,2.90089,3.51757,0.00025,0.00136,0.00013,3e-05,5.99326,4.22655,4.31069,0.000387861,0.000387861,0.000387861
19,22.8845,4.22938,2.69977,3.45681,0.00025,0.00136,0.00013,3e-05,5.99784,4.25693,4.3296,0.000379009,0.000379009,0.000379009
20,24.0083,4.3457,2.70546,3.31526,0.00025,0.00136,0.00013,3e-05,5.99816,4.2716,4.34017,0.000366857,0.000366857,0.000366857
21,46.7941,3.81092,2.57844,3.37493,0.00033,0.00136,0.00016,2e-05,6.00137,4.29729,4.35522,0.000351404,0.000351404,0.000351404
22,47.7864,3.8207,2.60839,3.31219,0.00033,0.00136,0.00016,2e-05,6.00345,4.31928,4.36924,0.00033265,0.00033265,0.00033265
23,48.7674,3.92438,2.67292,3.26374,0.00032,0.00136,0.00016,2e-05,6.00539,4.3451,4.3857,0.000310595,0.000310595,0.000310595
24,49.7477,3.84873,2.69713,3.25151,0.00032,0.00136,0.00016,2e-05,6.00935,4.38737,4.41259,0.00028524,0.00028524,0.00028524
25,50.7371,3.76383,2.58709,3.26954,0.00032,0.00136,0.00016,2e-05,6.01208,4.41461,4.43063,0.000256585,0.000256585,0.000256585
26,51.7447,3.68522,2.59852,3.26054,0.00032,0.00136,0.00016,2e-05,6.01313,4.42406,4.43626,0.000224628,0.000224628,0.000224628
27,52.7404,3.93204,2.59248,3.07713,0.00032,0.00136,0.00016,2e-05,6.01414,4.42285,4.43304,0.000189371,0.000189371,0.000189371
28,53.7386,3.78221,2.43081,2.9823,0.00032,0.00136,0.00016,2e-05,6.01288,4.39907,4.41585,0.000150813,0.000150813,0.000150813
29,54.7022,3.72413,2.42288,3.07725,0.00032,0.00136,0.00016,2e-05,6.01288,4.39907,4.41585,0.000108955,0.000108955,0.000108955
30,55.6791,3.79073,2.52711,3.06643,0.00032,0.00136,0.00016,2e-05,6.00604,4.34886,4.37632,6.37961e-05,6.37961e-05,6.37961e-05
